,name,alias,data_collection,enrich_name,enrich_field_name,description,vintage,units
8192,MP12206a_I,2024 Index: Drank Monster Energy Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12206a_I,GroceryAlcoholicBeverages_MP12206a_I,2024 Drank Monster Energy Drink Last 6 Mo: Index,2024,count
8193,MP12207a_B,2024 Drank Red Bull Energy Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12207a_B,GroceryAlcoholicBeverages_MP12207a_B,2024 Drank Red Bull Energy Drink Last 6 Mo,2024,count
8194,MP12207a_I,2024 Index: Drank Red Bull Energy Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12207a_I,GroceryAlcoholicBeverages_MP12207a_I,2024 Drank Red Bull Energy Drink Last 6 Mo: Index,2024,count
8195,MP12208a_B,2024 Drank Rockstar Energy Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12208a_B,GroceryAlcoholicBeverages_MP12208a_B,2024 Drank Rockstar Energy Drink Last 6 Mo,2024,count
8196,MP12208a_I,2024 Index: Drank Rockstar Energy Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12208a_I,GroceryAlcoholicBeverages_MP12208a_I,2024 Drank Rockstar Energy Drink Last 6 Mo: Index,2024,count
8197,MP12184a_B,2024 Drank Sports Drink or Thirst Quencher/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12184a_B,GroceryAlcoholicBeverages_MP12184a_B,2024 Drank Sports Drink or Thirst Quencher Last 6 Mo,2024,count
8198,MP12184a_I,2024 Index: Drank Sports Drink or Thirst Quencher/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12184a_I,GroceryAlcoholicBeverages_MP12184a_I,2024 Drank Sports Drink or Thirst Quencher Last 6 Mo: Index,2024,count
8199,MP12234h_B,2024 HH Used Orange Juice/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12234h_B,GroceryAlcoholicBeverages_MP12234h_B,2024 HH Used Orange Juice Last 6 Mo,2024,count
8200,MP12234h_I,2024 Index: HH Used Orange Juice/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12234h_I,GroceryAlcoholicBeverages_MP12234h_I,2024 HH Used Orange Juice Last 6 Mo: Index,2024,count
8201,MP12236h_B,2024 HH Used Oth Fruit Juice/Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12236h_B,GroceryAlcoholicBeverages_MP12236h_B,2024 HH Used Other Fruit Juice/Drink Last 6 Mo,2024,count
8202,MP12236h_I,2024 Index: HH Used Oth Fruit Juice/Drink/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12236h_I,GroceryAlcoholicBeverages_MP12236h_I,2024 HH Used Other Fruit Juice/Drink Last 6 Mo: Index,2024,count
8203,MP12235h_B,2024 HH Used Tomato/Vegetable Juice/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12235h_B,GroceryAlcoholicBeverages_MP12235h_B,2024 HH Used Tomato/Vegetable Juice Last 6 Mo,2024,count
8204,MP12235h_I,2024 Index: HH Used Tomato/Vegetable Juice/6 Mo,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12235h_I,GroceryAlcoholicBeverages_MP12235h_I,2024 HH Used Tomato/Vegetable Juice Last 6 Mo: Index,2024,count
8205,MP12237h_B,2024 HH Subscribes to HelloFresh Meal Kits,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12237h_B,GroceryAlcoholicBeverages_MP12237h_B,2024 HH Subscribes to HelloFresh Meal Kits,2024,count
8206,MP12237h_I,2024 Index: HH Subscribes to HelloFresh Meal Kits,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12237h_I,GroceryAlcoholicBeverages_MP12237h_I,2024 HH Subscribes to HelloFresh Meal Kits: Index,2024,count
2,AGE2_CY,2024 Population Age 2,1yearincrements,1yearincrements.AGE2_CY,F1yearincrements_AGE2_CY,2024 Total Population Age 2 (Esri),2024,count
3,AGE3_CY,2024 Population Age 3,1yearincrements,1yearincrements.AGE3_CY,F1yearincrements_AGE3_CY,2024 Total Population Age 3 (Esri),2024,count
10,AGE10_CY,2024 Population Age 10,1yearincrements,1yearincrements.AGE10_CY,F1yearincrements_AGE10_CY,2024 Total Population Age 10 (Esri),2024,count
11,AGE11_CY,2024 Population Age 11,1yearincrements,1yearincrements.AGE11_CY,F1yearincrements_AGE11_CY,2024 Total Population Age 11 (Esri),2024,count
13,AGE13_CY,2024 Population Age 13,1yearincrements,1yearincrements.AGE13_CY,F1yearincrements_AGE13_CY,2024 Total Population Age 13 (Esri),2024,count
14,AGE14_CY,2024 Population Age 14,1yearincrements,1yearincrements.AGE14_CY,F1yearincrements_AGE14_CY,2024 Total Population Age 14 (Esri),2024,count
4,AGE4_CY,2024 Population Age 4,1yearincrements,1yearincrements.AGE4_CY,F1yearincrements_AGE4_CY,2024 Total Population Age 4 (Esri),2024,count
16,AGE16_CY,2024 Population Age 16,1yearincrements,1yearincrements.AGE16_CY,F1yearincrements_AGE16_CY,2024 Total Population Age 16 (Esri),2024,count
18,AGE18_CY,2024 Population Age 18,1yearincrements,1yearincrements.AGE18_CY,F1yearincrements_AGE18_CY,2024 Total Population Age 18 (Esri),2024,count
19,AGE19_CY,2024 Population Age 19,1yearincrements,1yearincrements.AGE19_CY,F1yearincrements_AGE19_CY,2024 Total Population Age 19 (Esri),2024,count
20,AGE20_CY,2024 Population Age 20,1yearincrements,1yearincrements.AGE20_CY,F1yearincrements_AGE20_CY,2024 Total Population Age 20 (Esri),2024,count
5,AGE5_CY,2024 Population Age 5,1yearincrements,1yearincrements.AGE5_CY,F1yearincrements_AGE5_CY,2024 Total Population Age 5 (Esri),2024,count
25,AGE25_CY,2024 Population Age 25,1yearincrements,1yearincrements.AGE25_CY,F1yearincrements_AGE25_CY,2024 Total Population Age 25 (Esri),2024,count
